author:ID(Author)
"""Colored Quartet"" (name unknown)"
"Aaberg, J. C. (Jens Christian)"
"Lopez, Sabatino"
"Lord, Eleazar"
"Lord, Frances E. (Frances Ellen)"
"Lord, John"
"Lord, William Barry"
"Lord, Wm. Blair (William Blair)"
"Lorenc, František Vladimír"
"Lorentz, H. A. (Hendrik Antoon)"
"Lorenz, Edmund S. (Edmund Simon)"
"Loria, Achille"
"Loria, Gino"
"Lorimer, George Horace"
"Lorimer, Norma"
"Loring, Caleb William"
"Loring, Emilie Baker"
"Lorrain, Jean"
"Lorwin, Lewis L. (Lewis Levitzki)"
"Lossing, Benson John"
"Loti, Pierre"
"Lotz, Ernst Wilhelm"
"Louandre, Charles"
"Loubat, J. F. (Joseph Florimond)"
"Loudon, John Claudius"
"Loudon, Mrs. (Jane)"
"Loudon, Mrs. (Margracia)"
"Loudun, Eugène"
"Loughborough, Mary Ann Webster"
"Louise, Princess of Belgium"
"Lounsberry, Lionel"
"Lounsbery, Elizabeth"
"Lounsbery, Harriet Camp"
"Lounsbury, Thomas Raynesford"
"Loureiro, Urbano"
"Lourié, Ossip"
"Louwerse, P."
"Louwerse, Pieter"
"Louÿs, Pierre"
"Love, George Thomas"
"Love, John L."
"Love, Nat"
"Lovechild, Miss"
"Lovecraft, H. P. (Howard Phillips)"
"Lovelace, Richard"
"Lovell, Lucile"
"Lovell, Robert"
"Lover, Samuel"
"Loviot, Fanny"
"Low, David Allan"
"Low, Samuel"
"Lowe, Clara M. S."
"Lowe, Orton"
"Lowe, Richard E."
"Lowe, Samuel E. (Samuel Edward)"
"Lowell, A. Lawrence (Abbott Lawrence)"
"Lowell, Amy"
"Lowell, Edward J. (Edward Jackson)"
"Lowell, James Russell"
"Lowell, Percival"
"Lower, Mark Antony"
"Lowery, George H., Jr."
"Lowes, Emily Leigh"
"Lowie, Robert Harry"
"Lowndes, Cecilia Selby"
"Lowndes, Marie Belloc"
"Lowndes, Robert W."
"Lowry, E. B. (Edith Belle)"
"Lowry, Edward P."
"Lowsley, B."
"Lozano, Pedro"
"Lozo, Fredric B."
"Lu, Can"
"Lu, Xixing"
"Lu, Xun"
"Lu, You"
"Lu, Yu"
"Lubbock, Basil"
"Lubbock, John, Sir"
"Lubbock, Percy"
"Lucas, Charles Prestwood, Sir"
"Lucas, Chester L."
"Lucas, E. V. (Edward Verrall)"
"Lucas, Frederic A. (Frederic Augustus)"
"Lucas, Frederic Colby"
"Lucas, Frederick"
"Lucas, Jean Maximilien"
"Lucas, Joseph"
"Lucchesini, Cesare"
"Lucci, Eduardo Shwalbach"
"Luce, A. A. (Arthur Aston)"
"Luce, Edmund"
"Luce, Nancy"
"Lucia, Rose"
"Lucian, of Samosata"
"Lucini, Gian Pietro"
"Lucio y Bustamante, M."
"Lucka, Emil"
"Luckhoff, A. D. (August D.)"
"Luckiesh, Matthew"
"Luckner, Felix, Graf von"
"Lucretius Carus, Titus"
"Lucy, Henry W. (Henry William), Sir"
"Ludens, Magnus"
"Ludlow, Fitz Hugh"
"Ludlow, James M. (James Meeker)"
"Ludlow, William"
"Ludovici, Anthony M. (Anthony Mario)"
"Ludwig Salvator, Archduke of Austria"
"Ludwig, Edward W."
"Ludwig, Otto"
"Luff, John N. (John Nicholas)"
"Lugt, Frits"
"Lugt, Johanna G."
"Luhr, Otto"
"Lukács, György"
"Lumb, T. W. (Thomas Wallace)"
"Lumby, J. Rawson (Joseph Rawson)"
"Lumholtz, Carl"
"Lumley, Benjamin"
"Lummis, Charles Fletcher"
"Lundegård, Axel"
"Lundquist, Ernst"
"Lundquist, Matthew N."
"Lundsford, Hugh"
"Lundström, Isidor"
"Lungwitz, Hermann"
"Lunt, Dolly Sumner"
"Luo, Guanzhong"
"Lusk, Graham"
"Lusk, Milan"
"Luther, Mark Lee"
"Luther, Martin"
"Lutz, Alma"
"Lutz, Henry F. (Henry Frey)"
"Lutz, R. R. (Rufus Rolla)"
"Lux, Joseph August"
"Luxemburg, Rosa"
"Lyall, Alfred Comyn, Sir"
"Lyall, Edna"
"Lyall, Mary Chase Mills"
"Lyall, Sophie"
"Lybyer, Albert H."
"Lydekker, R."
"Lydgate, John"
"Lyell, Charles, Sir"
"Lykes, Richard Wayne"
"Lyle, Eugene P. (Eugene Percy)"
"Lyman, Henry M. (Henry Munson)"
"Lyman, Olin L. (Olin Linus)"
"Lyman, William Denison"
"Lynch, George"
"Lynch, H. F. B."
"Lynch, Hannah"
"Lynch, John D."
"Lynch, John Roy"
"Lynch, Lawrence L."
"Lynd, Robert"
"Lynde, Francis"
"Lyng, Mary Ella"
"Lyon, Leverett S. (Leverett Samuel)"
"Lyon, William Scrugham"
"Lyons, A. Neil (Albert Neil)"
"Lyra, F. W. (Friedrich Wilhelm)"
"Lys, F. J."
"Lyth, J. (John)"
"Lytle, H. M."
"Lyttelton, Robert Henry"
"Lytton, Constance"
"Lytton, Edward Bulwer Lytton, Baron"
"Lytton, Edward Robert Bulwer Lytton, Earl of"
"Lytton, Henry A."
"Léo, André"
"Lévi, Éliphas"
"López de Gómara, Francisco"
"López, Honorio"
"López, Lucio Vicente"
"Löfving, Stefan"
"Löher, Franz von"
"Lönnrot, Elias"
"Löns, Hermann"
"Lü, Kun"
"Lü, Shang"
"Lü, Sheng"
"Lü, Zuqian"
"Lüer, Hermann"
"Lützow, Francis, hrabe"
"M'Clintock, Francis Leopold, Sir"
"M'Crie, Thomas"
"M'Levy, James"
"M'Pherson, J. G. (John Gordon)"
"M., Antonino"
"Ma, Huan, active 1414-1451"
"Ma, Zhiyuan"
"Maag, Carl R."
"Maartens, Maarten"
"Mabey, Charles Rendell"
"Mabie, Hamilton Wright"
"Mabini, Apolinario"
"Mably, Abbé de"
"Mac Gregor, George"
"MacApp, C. C."
"MacArthur, Margaret"
"MacArthur, Ruth Brown"
"MacBeth, R. G. (Roderick George)"
"MacCaffrey, James"
"MacCarthy, Denis Florence"
"MacCauley, Clay"
"MacClintock, Porter Lander"
"MacClure, Victor"
"MacCulloch, Edgar"
"MacCulloch, J. A. (John Arnott)"
"MacDonagh, Michael"
"MacDonald, Alexander"
"MacDonald, Arthur"
"MacDonald, Daniel J."
"MacDonald, Elizabeth Roberts"
"MacDonald, Everett"
"MacDonald, George"
"MacDonald, John A. (John Alexander)"
"MacDonald, John D."
"MacDonald, Wilson"
"MacDowell, Edward"
"MacFall, Haldane"
"MacFarlane, Charles"
"MacFarlane, Peter Clark"
"MacGill, Patrick"
"MacGillivray, Evan James"
"MacGillivray, John"
"MacGillivray, William"
"MacGowan, Alice"
"MacGrath, Harold"
"MacGregor, John"
"MacGregor, Mary Esther Miller"
"MacGregor, Morris J."
"MacGregor, William"
"MacKaye, Harold Steele"
"MacKaye, Steele"
"MacKaye, Steele, Mrs."
"MacKenna, Robert William"
"MacKenzie, A.R.D."
"MacKenzie, Compton"
"MacKenzie, Edna I."
"MacKeracher, William M. (William Mackay)"
"MacLane, Mary"
"MacLaren, Gordon"
"MacLean, J. P. (John Patterson)"
"MacLean, John"
"MacLean, Kate Seymour"
"MacLean, Katherine"
"MacLeod, Mrs. Elizabeth S. (MacQueen)"
"MacMahon, Henry"
"MacMechan, Archibald"
"MacMicking, Robert"
"MacMillan, Cyrus"
"MacNaul, Willard C. (Willard Carey)"
"MacNeal, Ward J."
"MacNeil, John"
"MacNeill, Eoin"
"MacNeill, J. G. Swift"
"MacNutt, Francis Augustus"
"MacOubrey, William"
"MacPherson, James"
"MacQuarrie, Hector"
"MacQueen, James"
"MacRitchie, David"
"MacRory, Joseph"
"MacSwiney, Terence J. (Terence Joseph)"
"Macartney-Filgate, J."
"Macaulay, Rose"
"Macaulay, Thomas Babington Macaulay, Baron"
"Macaulay, W. Hastings"
"Macauley, C. R. (Charles Raymond)"
"Macbeth, Ann"
"Macbride, Thomas H. (Thomas Huston)"
"Macdonald, Frederic W. (Frederic William)"
"Macdonald, Frederika"
"Macdonald, William"
"Macdonell, Arthur Anthony"
"Macdonnell, Blanche Lucile"
"Macduff, John R. (John Ross)"
"Mace, Vera"
"Mace, William H."
"Macedo, Antonio da Costa de Souza de"
"Macedo, Diogo de"
"Macedo, Inácio José de"
"Macedo, José Agostinho de"
"Macfadden, Bernarr"
"Macfarlane, Alexander"
"Macfarlane, Wallace"
"Macgeorge, Andrew"
"Macgowan, Daniel Jerome"
"Macgowan, J. (John)"
"Mach, Ernst"
"Machado, Antonio"
"Machado, Cirilo Volkmar"
"Machado, Diogo Rosa"
"Machado, Júlio César"
"Machar, Agnes Maule"
"Machen, Arthur"
"Machen, J. Gresham (John Gresham)"
"Machiavelli, Niccolò"
"Machray, Robert"
"Maciejowski, Wacław Aleksander"
"Mack, Isaac Alexander"
"Mack, Louise"
"Mackail, J. W. (John William)"
"Mackall, Lawton"
"Mackay, Angus"
"Mackay, Charles"
"Mackay, Constance D'Arcy"
"Mackay, Eric"
"Mackay, Helen"
"Mackay, Isabel Ecclestone"
"Mackay, John Henry"
"Mackay, William"
"Mackenzie, Alexander"
"Mackenzie, Clutha N. (Clutha Nantes)"
"Mackenzie, Donald A. (Donald Alexander)"
"Mackenzie, Henry"
"Mackenzie, J. B."
"Mackenzie, R. Shelton (Robert Shelton)"
"Mackereth, James Allan"
"Mackey, Albert Gallatin"
"Mackie, Charles"
"Mackie, J. Milton (John Milton)"
"Mackie, John"
"Mackinlay, M. (Malcolm) Sterling"
"Mackintosh, Charles Henry"
"Mackintosh, James, Sir"
"Mackintosh, Mabel"
"Macklin, Alys Eyre"
"Macklin, Charles"
"Maclaren, Alexander"
"Maclaren, Ian"
"Maclean, Norman"
"Macleod, Mrs. Alick"
"Macleod, Norman"
"Macleod, Rita"
"Maclise, Joseph"
"Macmichael, William"
"Macmillan, Hugh"
"Macmillan, Newton"
"Macnamara, T. J. (Thomas James)"
"Macnaughtan, S. (Sarah)"
"Macomber, Ben"
"Macomber, Hattie E."
"Macon, T. J. (Thomas Joseph)"
"Macpherson, Hector"
"Macpherson, Mrs. Daniel"
"Macquer, Pierre Joseph"
"Macquoid, Katharine S. (Katharine Sarah)"
"Macray, William Dunn"
"Mactear, James"
"Macy, Arthur"
"Macy, Jesse"
"Macy, John Albert"
"Macy, William Hussey"
"Macé, Jean"
"Madden, Eva Annie"
"Madders, Susan Swain"
"Maddren, Gerry"
"Mader, Friedrich Wilhelm"
"Madison, Charles Allan"
"Madison, James"
"Madison, Lucy Foster"
"Madrazo, Pedro D."
"Madvig, J. N. (Johan Nikolai)"
"Maeterlinck, Maurice"
"Magalhães, José Maria Barbosa de"
"Magazine, The Harmsworth"
"Magee, Knox"
"Maggard, James H."
"Magill, Rory"
"Maginnis, Charles Donagh"
"Magnay, William, Sir"
"Magnus, Hugo"
"Magoffin, Ralph Van Deman"
"Magruder, Julia"
"Maguire, Thomas"
"Mahaffy, J. P. (John Pentland)"
"Mahalin, Paul"
"Mahan, A. T. (Alfred Thayer)"
"Mahan, Asa"
"Mahaney, Margaret"
"Maher, Richard Aumerle"
"Maher, William H."
"Maher, Zena A."
"Mahood, J. W. (John Wilmot)"
"Maigron, Louis"
"Mailand, Oszkár"
"Maile, John Levi"
"Maillard, Annette Marie"
"Maillard, Antoine Simon"
"Maimon, Solomon"
"Maine, Henry Sumner, Sir"
"Mainer, R. Henry (Robert Henry)"
"Maintenon, Madame de"
"Mainwaring, Arthur Edward"
"Mair, Charles"
"Mair, G. H. (George Herbert)"
"Maire, F. (Frederick)"
"Mairet, Ethel M."
"Mairet, Jean de"
"Mais, S. P. B. (Stuart Petre Brodie)"
"Maisch, Richard"
"Maistre, Xavier de"
"Maitland, Edward"
"Maitland, Frederic William"
"Maitland, Frederick Lewis, Sir"
"Maitland, Julia Charlotte"
"Maitland, Robert"
"Maizeroy, René"
"Major, Charles"
"Major, Richard Henry"
"Majors, Alexander"
"Makellar, Archibald"
"Makers, The Home Candy"
"Makins, George Henry"
"Malan, César"
"Malatesta, Errico"
"Malcolm, James Peller"
"Malcolm, John"
"Malet, Lucas"
"Malham-Dembleby, John"
"Malheiro Dias, Augusto"
"Malheiro, Agostinho Marques Perdigão"
"Malherbe, Daniel François"
"Malinowski, Bronislaw"
"Malins, Geoffrey H."
"Malkin, Arthur Thomas"
"Mallarmé, Stéphane"
"Mallery, Garrick"
"Malleson, G. B. (George Bruce)"
"Malleson, Hope"
"Malling, Mathilda"
"Mallock, W. H. (William Hurrell)"
"Mallory, George Herbert Leigh"
"Malmberg, Aino"
"Malone, Edmond"
"Malonyay, Dezső"
"Malory, Thomas, Sir"
"Malot, Hector"
"Malthus, T. R. (Thomas Robert)"
"Mamin-Siberiak, D. N. (Dmitrii Narkisovich)"
"Mancey, Claude"
"Mandeville, Bernard"
"Mandeville, John, Sir"
"Manerî, Shaikh Sharfuddîn"
"Mangasarian, M. M. (Mangasar Mugurditch)"
"Mangin, Arthur"
"Maniates, Belle Kanaris"
"Manin, Leonardo"
"Maning, Frederick Edward"
"Manington, George"
"Manly, Charles M. (Charles Matthews)"
"Manly, Harold P. (Harold Phillips)"
"Manly, John Matthews"
"Manly, Louise"
"Manly, William Lewis"
"Mann, Arthur M."
"Mann, D. D. (David Dickinson)"
"Mann, Franziska"
"Mann, Heinrich"
"Mann, Henry"
"Mann, Mary E."
"Mann, Richard F."
"Mann, Thomas"
"Mann, William W."
"Manners, J. Hartley"
"Manninen, Otto"
"Manning, Anne"
"Manning, Emmerson Wain"
"Manning, Frederic"
"Manning, Henry Parker"
"Manning, J. C."
"Manning, Joseph C. (Joseph Columbus)"
"Manning, Marie"
"Manning, Samuel"
"Manning, William Ray"
"Manningham, John"
"Manrrique, Jorge"
"Mansel, Henry Longueville"
"Mansfield, Katherine"
"Mansfield, M. F. (Milburg Francisco)"
"Manson, George J."
"Mant, Alicia Catherine"
"Mantegazza, Paolo"
"Mantere, Niilo"
"Manton, Walter Porter"
"Manucy, Albert C."
"Manwell, M. B."
"Manzoni, Alessandro"
"Mapes, Victor"
"Maples, Richard"
"Mapleson, James Henry"
"Maquet, Auguste"
"Maragall, Joan"
"Marble, Annie Russell"
"Marbot, Jean-Baptiste-Antoine-Marcelin, baron de"
"Marbourg, Dolores"
"Marc, Franz"
"Marcantonio, Vito"
"Marcel, Jeanne"
"Marcet, Mrs. (Jane Haldimand)"
"March, Eleanor S."
"March, Francis Andrew"
"Marchant, Bessie"
"Marchmont, Arthur W."
"Marcin, Max"
"Marcosson, Isaac Frederick"
"Marcoy, Paul"
"Marcus Aurelius, Emperor of Rome"
"Marcy, Mary"
"Marcy, Randolph Barnes"
"Marden, Orison Swett"
"Marden, Philip Sanford"
"Marett, R. R. (Robert Ranulph)"
"Marge, Pierre"
"Marguerite, Queen, consort of Henry II, King of Navarre"
"Marguerite, Queen, consort of Henry IV, King of France"
"Margueritte, Paul"
"Margueritte, Victor"
"Mariani, Angelo"
"Mariano, Patricio"
"Marie, Queen, consort of Ferdinand I, King of Romania"
"Marie, de France, active 12th century"
"Marinelli, Olinto"
"Marinetti, F. T."
"Mario, Alberto"
"Marion, Fulgence"
"Marivaux, Pierre Carlet de Chamblain de"
"Mariéjol, Jean-H. (Jean-Hippolyte)"
"Mariéton, Paul"
"Markham, Albert Hastings, Sir"
"Markham, Clements R. (Clements Robert), Sir"
"Markham, Edwin"
"Markham, Gervase"
"Marks, Bernhard"
"Marks, Harry F."
"Marks, Jeannette Augustus"
"Marks, Percy"
"Marks, Winston K."
"Marlitt, E. (Eugenie)"
"Marlow, Ralph"
"Marlowe, Amy Bell"
"Marlowe, Christopher"
"Marlowe, Stephen"
"Marlys, Jean"
"Marmette, Joseph"
"Marmont, Auguste Frédéric Louis Viesse de, duc de Raguse"
"Marmontel, A. (Antoine)"
"Marmontel, Jean-François"
"Marmor, Arnold"
"Marot, Helen"
"Marquand, John P. (John Phillips)"
"Marquis, Don"
"Marquis, Reina Melcher"
"Marquis, Thomas Guthrie"
"Marr, J. E. (John Edward)"
"Marrs, William Taylor"
"Marryat, Florence"
"Marryat, Frank"
"Marryat, Frederick"
"Mars, Mademoiselle"
"Marsden, Samuel"
"Marsden, William"
"Marsh, A."
"Marsh, C. Dwight (Charles Dwight)"
"Marsh, George P. (George Perkins)"
"Marsh, Richard"
"Marsh, W. Lockwood (William Lockwood)"
"Marshall, Archibald"
"Marshall, Arthur"
"Marshall, Bernard Gay"
"Marshall, Caroline Louise"
"Marshall, Charles Hunt"
"Marshall, Edison"
"Marshall, Edward"
"Marshall, Emma"
"Marshall, H. E. (Henrietta Elizabeth)"
"Marshall, Herbert, R. W. S."
"Marshall, J. (John)"
"Marshall, John"
"Marshall, Julian, Mrs."
"Marshall, Logan"
"Marshall, Thomas Maitland"
"Marsili, Giovanni"
"Marsland, Cora"
"Marson, Charles L. (Charles Latimer)"
"Marston, E."
"Marston, John"
"Marsy, Arthur de"
"Martelaos, Antonios"
"Marten, Edward Bindon"
"Martens, Frederick Herman"
"Martial, d'Auvergne"
"Martin du Gard, Roger"
"Martin, Absalom"
"Martin, Annie, Mrs."
"Martin, Benj. N. (Benjamin Nicholas)"
"Martin, Benjamin Ellis"
"Martin, Edouard"
"Martin, Edward A. (Edward Alfred)"
"Martin, Edwin Perry"
"Martin, Ernest G."
"Martin, Everett Dean"
"Martin, Frances"
"Martin, Frederick"
"Martin, Gene Allen"
"Martin, George Madden"
"Martin, Helen Reimensnyder"
"Martin, John Alexander"
"Martin, M. Jean"
"Martin, Mabel Wood"
"Martin, Marcus J."
"Martin, Martha Evans"
"Martin, Minnie"
"Martin, Percy F. (Percy Falcke)"
"Martin, Robert J."
"Martin, Stapleton"
"Martin, Stuart"
"Martin, T. T. (Thomas Theodore)"
"Martin, Theodore, Sir"
"Martin, Thomas Commerford"
"Martin, W. A. P. (William Alexander Parsons)"
"Martin, William S."
"Martin, William"
"Martindale, Joseph C."
"Martine, Arthur"
"Martineau, Harriet"
"Martineau, James"
"Martinek, Frank V. (Frank Victor)"
"Martinengo-Cesaresco, Evelyn Lilian Hazeldine Carrington, contessa"
"Martini, Ferdinando"
"Martino, Joseph Paul"
"Martoglio, Nino"
"Marty, Aletta E."
"Marty, Paul"
"Martyn, Charles"
"Martyn, Wyndham"
"Martí, José"
"Martín de la Cámara, Eduardo"
"Martínez Ruiz, José"
"Martínez de Zúñiga, Joaquín"
"Martínez, Alberto B."
"Marvell, Andrew"
"Marvin, Frederic Rowland"
"Marx, Karl"
"Marx, Magdeleine"
"Marx, W. J. (William James)"
"Mary-Lafon, Jean Bernard Lafon, called"
"Maryan, M."
"Marzials, Ada M."
"Marzials, Frank T. (Frank Thomas), Sir"
"Maréchal, Sylvain"
"Masamune, Hakuchō"
"Mascagni, Pietro"
"Mascarenhas, Miguel J. T."
"Masefield, John"
"Masham, Damaris, Lady"
"Masi, Ernesto"
"Maskell, Henry Parr"
"Maskell, W. M."
"Maskelyne, John Nevil"
"Mason, A. E. W. (Alfred Edward Woodley)"
"Mason, Alfred Bishop"
"Mason, Amelia Gere"
"Mason, Arthur"
"Mason, David"
"Mason, Francis"
"Mason, Isaac"
"Mason, James"
"Mason, John"
"Mason, Mary Murdoch"
"Mason, Otis Tufton"
"Mason, R. Osgood (Rufus Osgood)"
"Mason, Richard Lee"
"Mason, Walt"
"Mason, William"
"Maspero, G. (Gaston)"
"Massa, Philippe, marquis de"
"Massart, Jean"
"Massee, George"
"Massenet, Jules"
"Massey, Montague"
"Massey, W. T. (William Thomas)"
"Massinger, Philip"
"Massis, Henri"
"Masson, David"
"Masson, Rosaline"
"Massé, H. J. L. J. (Henri Jean Louis Joseph)"
"Masten, V. M. (Vincent Myron)"
"Masters, Edgar Lee"
"Masters, Maxwell T. (Maxwell Tylden)"
"Mastin, John"
"Mather, Cotton"
"Mather, Frank Jewett"
"Mather, Marshall"
"Matheson, D. M."
"Matheson, Richard"
"Mathews, Basil"
"Mathews, Cornelius"
"Mathews, Frances Aymar"
"Mathews, Joanna H. (Joanna Hooe)"
"Mathews, R. H. (Robert Hamilton)"
"Mathews, W. S. B. (William Smythe Babcock)"
"Mathewson, Christy"
"Mathiez, Albert"
"Mathot, Rodolphe Edgard"
"Mathuisieulx, A. de"
"Matoon, W. R."
"Matos, J. J. Rodrigues de"
"Matos, Júlio de"
"Matsell, George W."
"Matsuo, Bashō"
"Mattes, Merrill J."
"Matthew, Patrick"
"Matthew, William Diller"
"Matthewman, Lisle de Vaux"
"Matthews, Albert"
"Matthews, Brander"
"Matthews, Franklin"
"Matthews, Ike"
"Matthews, Stanley R."
"Matthews, W. H."
"Matthews, Washington"
"Matthews, William A."
"Matthias, Leo"
"Mattox, Alan"
"Mattson, Hans"
"Matull, Kurt"
"Maturin, Charles Robert"
"Matz, B. W. (Bertram Waldrom)"
"Mau, August"
"Mauclair, Camille"
"Maude, Aylmer"
"Maudslay, Anne Cary"
"Mauduit, Israel"
"Maugham, W. Somerset (William Somerset)"
"Maugras, Gaston"
"Maule, Harry E. (Harry Edward)"
"Maule, Mary K. (Mary Katherine)"
"Maumené, Charles"
"Maunder, E. Walter (Edward Walter)"
"Maundeville, John"
"Maunsell, Robert"
"Maunu, J. A."
"Maupassant, Guy de"
"Mauriac, François"
"Maurice, Arthur Bartlett"
"Maurice, C. Edmund (Charles Edmund)"
"Maurice, Frederick Denison"
"Maurice, Furnley"
"Maurik, Justus van"
"Maurois, André"
"Maury, Richard L. (Richard Lancelot)"
"Maverick, Samuel"
"Mavrogordato, John"
"Mawe, John"
"Mawer, Allen"
"Mawhinney, Thomas A. H."
"Mawson, Douglas, Sir"
"Max, Frederic"
"Maxim, Hiram S. (Hiram Stevens)"
"Maxim, Hudson"
"Maximilian, Emperor of Mexico"
"Maxwell, David"
"Maxwell, Donald"
"Maxwell, George Hebard"
"Maxwell, Herbert, Sir"
"Maxwell, J. (Joseph)"
"Maxwell, James Clerk"
"Maxwell, James Robert"
"Maxwell, M. H. (Mary H.)"
"Maxwell, W. B. (William Babington)"
"Maxwell, W. H. (William Hamilton)"
"Maxwell, William Edward, Sir"
"Maxwell, Wm. Audley (William Audley)"
"May, Carrie L."
"May, E. J. (Edith J.)"
"May, Florence"
"May, Karl"
"May, Phil"
"May, Robert"
"May, Samuel J."
"May, Samuel"
"May, Sophie"
"Mayer, Brantz"
"Mayer, Frank"
"Mayer, J. E."
"Mayfield, M. I."
"Mayhew, Edward"
"Mayhew, Ira"
"Maynard, C. J. (Charles Johnson)"
"Maynard, François"
"Mayne, Ethel Colburn"
"Mayne, Rutherford"
"Mayo, Dermot Robert Wyndham Bourke, Earl of"
"Mayo, Margaret"
"Mayor, F. M. (Flora Macdonald)"
"Mayow, Mayow Wynell"
"Mayson, Walter H. (Walter Henry)"
"Mazier du Heaume, Hippolyte"
"Mazzini, Giuseppe"
"Mc Donald, R. D. (Roelof Daniel)"
"McAdie, Alexander"
"McAfee, Cleland Boyd"
"McAlister, Hugh"
"McAllan, Alexander"
"McAllister, A. (Alvan)"
"McAnally, D. R. (David Russell)"
"McArthur, Peter"
"McAulay, Alexander"
"McAuley, Mary Ethel"
"McBride, Herbert W."
"McBride, Isaac"
"McBride, R. E. (Robert Ekin)"
"McCabe, James Dabney"
"McCabe, Joseph"
"McCain, Vernon L."
"McCall, D."
"McCall, Sidney"
"McCandless, Wilson"
"McCann, Edson"
"McCarter, Margaret Hill"
"McCarthy, Carlton"
"McCarthy, George T."
"McCarthy, Justin H. (Justin Huntly)"
"McCarthy, Justin"
"McCarty, Louis Philippe"
"McClatchie, Sam"
"McCleary, J. T. (James Thompson)"
"McClelland, M. G. (Mary Greenway)"
"McClintock, James H."
"McClintock, Marshall"
"McClung, Nellie L."
"McClure, Alexander K. (Alexander Kelly)"
"McClure, James G. K. (James Gore King)"
"McClymont, J.A."
"McClymont, James Roxburgh"
"McComas, J. Francis"
"McCombie, William"
"McConn, Max"
"McConnaughay, T. J."
"McConnel, John Ludlum"
"McConnell, Francis John"
"McConnell, James R. (James Rogers)"
"McConnell, James V."
"McConnell, Walter Caruth"
"McCook, Henry C. (Henry Christopher)"
"McCormack, Mary A."
"McCracken, Elizabeth"
"McCrae, John"
"McCulley, Johnston"
"McCulloch-Williams, Martha"
"McCutcheon, George Barr"
"McCutcheon, John T. (John Tinney)"
"McDonald, J. Daley (James Daley)"
"McDonald, N. A. (Noah A.)"
"McDonald, W. (William)"
"McDonnell, Michael, Sir"
"McDougall, Henriette"
"McDougall, Marion Gleason"
"McDougall, William"
"McDowall, Stewart Andrew"
"McElroy, Crocket"
"McElroy, John"
"McElroy, Robert McNutt"
"McFadden, Elizabeth A. (Elizabeth Apthorp)"
"McFadyen, John Edgar"
"McFarland, J. Horace (John Horace)"
"McFee, William"
"McFeeters, J. C. (James Calvin)"
"McGaffey, Ernest"
"McGaffey, Kenneth"
"McGaw, Virginia"
"McGee, Thomas D'Arcy"
"McGee, W J"
"McGee, W. J. (William John)"
"McGibeny, Donald"
"McGilchrist, John"
"McGinnis, Mabel Earl"
"McGirt, James E. (James Ephraim)"
"McGivern, William P."
"McGlashan, C. F. (Charles Fayette)"
"McGlauflin, Idabelle"
"McGovern, Janet B. Montgomery"
"McGovern, John"
"McGowan, Richard"
"McGreevey, John"
"McGregor, Duncan"
"McGregor, Richard"
"McGuffey, Alexander H. (Alexander Hamilton)"
"McGuffey, William Holmes"
"McGuinn, Roger"
"McGuire, John Joseph"
"McHarry, Samuel"
"McHugh, Augustin"
"McHugh, John A. (John Ambrose)"
"McIlhenny, Loyce J."
"McIlrath, H. Darwin"
"McIlvaine, Charles"
"McIlwraith, Jean N. (Jean Newton)"
"McIntosh, Jean"
"McIntosh, Maria J. (Maria Jane)"
"McIntyre, J. Lewis (James Lewis)"
"McIntyre, James"
"McIntyre, John Thomas"
"McIntyre, Margaret A."
"McIntyre, W. A."
"McIvor-Tyndall, Alexander J. (Alexander James)"
"McKay, David O."
"McKay, Kenneth W."
"McKay, R. H. (Robert Henderson)"
"McKechnie, Jean Lyttleton"
"McKee, Edwin Dinwiddie"
"McKee, Lanier"
"McKee, Mabel Anne"
"McKeever, William A. (William Arch)"
"McKenna, Dolores"
"McKenna, Stephen"
"McKenty, Jack"
"McKenzie, Fred A. (Fred Arthur)"
"McKenzie, J. H."
"McKim, Randolph H. (Randolph Harrison)"
"McKimmey, James"
"McKinlay, Duncan E."
"McKinlay, John"
"McKinley, Albert E. (Albert Edward)"
"McKinley, William"
"McKinney, Kate Slaughter"
"McKishnie, Archie P."
"McKnight, George Harley"
"McKnight, Hiram Peck"
"McLachlan, D. B."
"McLaren, Eva Shaw"
"McLaughlin, Edward T. (Edward Tompkins)"
"McLaughlin, James Fairfax"
"McLaughlin, Marie L."
"McLaurin, John J."
"McLean, George N."
"McLean, John"
"McLennan, William"
"McMahan, Anna Benneson"
"McMahon, James"
"McManus, Blanche"
"McManus, Thomas"
"McMaster, John Bach"
"McMurry, Charles A. (Charles Alexander)"
"McMurry, Frank M. (Frank Morton)"
"McMurry, Lida B. (Lida Brown)"
"McNeal, Edgar Holmes"
"McNeely, Marian Hurd"
"McNeil, Everett"
"McNeile, H. C. (Herman Cyril)"
"McNeill, John Charles"
"McNeill, Ronald"
"McPherson, J. H. T. (John Hanson Thomas)"
"McRae, Charles"
"McReynolds, Robert"
"McSpadden, J. Walker (Joseph Walker)"
"McWatters, George S."
"McWhorter, Lucullus Virgil"
"Meacham, A. B. (Alfred Benjamin)"
"Meacham, Henry H."
"Mead, G. R. S. (George Robert Stow)"
"Mead, Lucia True Ames"
"Mead, Richard"
"Mead, Theodore H. (Theodore Hoe)"
"Meade, L. T."
"Meader, Stephen W. (Stephen Warren)"
"Meadowcroft, Wm. H. (William Henry)"
"Meadows, Mark"
"Meadows, P."
"Meakin, Annette M. B. (Mary Budgett)"
"Meakin, Budgett"
"Means, Florence Crannell"
"Means, Philip Ainsworth"
